mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.012076473236083985,0.0013410441075604996,0.0021842479705810546,0.00019425239728132688,1.0,auto,poly,"{'C': 1, 'gamma': 'auto', 'kernel': 'poly'}",0.7755102040816326,0.7708333333333334,0.8333333333333334,0.8333333333333334,0.7708333333333334,0.7967687074829933,0.02990369528530571,35
0.013858842849731445,0.0009805252746344125,0.0028037071228027345,0.0004728956783266188,1.0,scale,poly,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.7755102040816326,0.7708333333333334,0.8333333333333334,0.8333333333333334,0.7708333333333334,0.7967687074829933,0.02990369528530571,35
0.011917686462402344,0.0006419782570767487,0.0021197319030761717,2.7478979852360732e-05,1.0,0.1,poly,"{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.7959183673469388,0.75,0.7916666666666666,0.8541666666666666,0.7916666666666666,0.7966836734693877,0.03327036604395264,37
0.018581676483154296,0.0006281028464438135,0.003187274932861328,0.0006270133327924086,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8367346938775511,0.8125,0.8125,0.8125,0.6875,0.7923469387755102,0.053257095308979145,38
0.020372915267944335,0.000297699233374686,0.0026988983154296875,6.455307961062476e-05,100.0,auto,rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.7346938775510204,0.8125,0.8333333333333334,0.7916666666666666,0.75,0.784438775510204,0.037123945498202505,39
0.021488189697265625,0.0008752908522327564,0.0029146671295166016,0.0002776182627197921,100.0,scale,rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.7346938775510204,0.8125,0.8333333333333334,0.7916666666666666,0.75,0.784438775510204,0.037123945498202505,39
0.020763444900512695,0.0018534303805997617,0.002714681625366211,0.00035998932975137395,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.7755102040816326,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.6875,0.7842687074829933,0.0534982223060015,41
0.02063126564025879,0.0006143177590488448,0.002956199645996094,6.0175526902165954e-05,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.7142857142857143,0.8125,0.8333333333333334,0.75,0.7708333333333334,0.7761904761904763,0.04273295498999421,42
0.014222955703735352,0.0008191808495678622,0.002011728286743164,8.420104441778065e-05,10.0,scale,poly,"{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.7551020408163265,0.7291666666666666,0.7708333333333334,0.8333333333333334,0.7916666666666666,0.7760204081632653,0.035183330503771135,43
0.014286422729492187,0.0003570986837978246,0.0019969940185546875,4.068066566989803e-05,10.0,auto,poly,"{'C': 10, 'gamma': 'auto', 'kernel': 'poly'}",0.7551020408163265,0.7291666666666666,0.7708333333333334,0.8333333333333334,0.7916666666666666,0.7760204081632653,0.035183330503771135,43
0.0207611083984375,0.0005418840196146366,0.002840089797973633,4.147918706602638e-05,100.0,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.7142857142857143,0.8125,0.8333333333333334,0.75,0.75,0.7720238095238096,0.04404761904761905,45
0.012975549697875977,0.0006938697771325704,0.0020713329315185545,1.3916294561485054e-05,100.0,0.01,poly,"{'C': 100, 'gamma': 0.01, 'kernel': 'poly'}",0.8163265306122449,0.8125,0.75,0.7291666666666666,0.75,0.7715986394557823,0.03579659288013444,46
0.012481307983398438,0.00047967392630715496,0.002307748794555664,8.24071461230666e-05,0.1,0.1,poly,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",0.8163265306122449,0.8125,0.75,0.7291666666666666,0.75,0.7715986394557823,0.03579659288013444,46
0.02162203788757324,0.001288002894128498,0.0032395839691162108,0.0005757656825967467,10.0,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.7142857142857143,0.7708333333333334,0.8333333333333334,0.7708333333333334,0.75,0.7678571428571429,0.038713363194069296,48
0.019996833801269532,0.00112647832428869,0.002789306640625,0.0001043114825118151,10.0,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.7142857142857143,0.7708333333333334,0.8333333333333334,0.7708333333333334,0.75,0.7678571428571429,0.038713363194069296,48
0.014884233474731445,0.0007018849736902108,0.0023302078247070313,0.00026597464622527987,10.0,0.1,poly,"{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}",0.6938775510204082,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.7637755102040816,0.053579256527747525,50
0.015148019790649414,0.00030786272421056326,0.0019145011901855469,0.00011468483838308407,100.0,0.1,poly,"{'C': 100, 'gamma': 0.1, 'kernel': 'poly'}",0.6530612244897959,0.6666666666666666,0.7708333333333334,0.75,0.8333333333333334,0.7347789115646258,0.06717385681691507,51
0.01533041000366211,0.00039626644235550915,0.00203399658203125,0.00015844843160787306,100.0,scale,poly,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}",0.6530612244897959,0.6666666666666666,0.7708333333333334,0.75,0.8333333333333334,0.7347789115646258,0.06717385681691507,51
0.01330876350402832,0.003373230318203941,0.0017833232879638672,0.0003624377540602234,100.0,auto,poly,"{'C': 100, 'gamma': 'auto', 'kernel': 'poly'}",0.6530612244897959,0.6666666666666666,0.7708333333333334,0.75,0.8333333333333334,0.7347789115646258,0.06717385681691507,51
0.01613001823425293,0.0012036287371761894,0.002307701110839844,0.0003677273871273433,1.0,1,poly,"{'C': 1, 'gamma': 1, 'kernel': 'poly'}",0.6530612244897959,0.6666666666666666,0.7708333333333334,0.75,0.8333333333333334,0.7347789115646258,0.06717385681691507,51
0.015195131301879883,0.0004183353290790694,0.0018155097961425782,2.9203852728142514e-05,100.0,1,poly,"{'C': 100, 'gamma': 1, 'kernel': 'poly'}",0.6530612244897959,0.6666666666666666,0.7708333333333334,0.75,0.8333333333333334,0.7347789115646258,0.06717385681691507,51
0.0151611328125,0.0003126480780932975,0.0021688461303710936,0.0005265560418250465,10.0,1,poly,"{'C': 10, 'gamma': 1, 'kernel': 'poly'}",0.6530612244897959,0.6666666666666666,0.7708333333333334,0.75,0.8333333333333334,0.7347789115646258,0.06717385681691507,51
0.015443181991577149,0.0004798597287518895,0.002400493621826172,0.0004040924305140249,0.1,1,poly,"{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}",0.6530612244897959,0.6666666666666666,0.7708333333333334,0.75,0.8333333333333334,0.7347789115646258,0.06717385681691507,51
0.019976043701171876,0.001085993153328891,0.0034281253814697266,0.0001297963182276233,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7755102040816326,0.8125,0.75,0.6875,0.625,0.7301020408163266,0.06649605494149388,58
0.01744537353515625,0.0031687230918022442,0.0032293319702148436,0.0008168527326817828,0.1,scale,poly,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.7551020408163265,0.7708333333333334,0.6458333333333334,0.6458333333333334,0.6666666666666666,0.6968537414965986,0.05474169885389155,59
0.013188791275024415,0.0013926003726634848,0.0024181365966796874,0.00017137879053329326,0.1,auto,poly,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",0.7551020408163265,0.7708333333333334,0.6458333333333334,0.6458333333333334,0.6666666666666666,0.6968537414965986,0.05474169885389155,59
